dep;ivg_recours;ivg_horsdep;ivg_ville;ivg_chir;ivg_ag;img_horsdep;img_prive;ivg_privé;img_recours.x;ivg_eta_privé;ivg_1314;img_recours_av22;img_recours_ap22;img_recours.y;img_eta_prive;img_prop_av22;img_prop_ap22;dens_nb_gynec_2020;proxmat_2000;proxmat_2008;proxmat_2017;dens_nb_sgf_.2020;dens_nb_medg_2020;icf_.2020
1;614.477908202024;47.4233128834356;30.0099700897308;15.7041540020263;88.3870967741936;73.1277533039648;96.9230769230769;0;13.4780797412209;0;4.46043165467626;29.9220300946572;8.63135483499727;37.4025376183215;0;77.6119402985075;22.3880597014925;9.1;3.5;2.8;4.6;27.2;68.2;178
2;1167.78080382933;17.780661907852;6.64310954063604;17.5886524822695;99.5967741935484;72.3880597014925;100;0;5.77700751010976;0;4.66717674062739;28.090207525898;3.79597398998622;31.8861815158843;0;88.0952380952381;11.9047619047619;8.9;0;0;0.4;21;71.6;192
3;1392.17796914245;8.68596881959911;34.4329896907216;20.8722741433022;99.5024875621891;41.8367346938776;80;0.314465408805031;27.2694653749551;40;4.47284345047923;75.5337052595312;7.95091634310854;86.1349270503426;40;90.4761904761905;9.52380952380952;7.3;0.2;0.3;0.3;23.2;86;175
4;1168.93880934008;37.6288659793814;43.2762836185819;10.5911330049261;100;61.5384615384615;100;0;11.432164394524;0;0.87719298245614;61.0727562400425;5.31067445565587;69.0387679235263;0;92;8;11.1;13.6;12.4;11.8;25;110.9;176
5;1976.44108621771;8.3495145631068;64.9415692821369;15.5932203389831;100;47.8260869565217;100;0;46.1939485927344;0;7.46268656716418;76.1324704986677;12.1811952797868;88.3136657784545;0;86.2068965517241;13.7931034482759;3.3;7;6.6;6.3;39.2;139.3;171
6;1968.68386992707;3.2599837000815;57.5887631681623;15.440144375376;99.8701298701299;2.51572327044025;90.4255319148936;8.87764489420423;54.9203654700684;54.5454545454545;10.2865194927196;81.4367616400278;55.0150567523743;136.089877229558;44.4444444444444;59.6816976127321;40.3183023872679;27.8;1.6;1.6;1.7;20.4;124.1;184
7;819.592019100543;43.8674033149171;23.8500851788756;10.4452054794521;100;42.8571428571429;88.5714285714286;0.223713646532438;43.2833945351224;25;3.38600451467269;131.139878208707;5.1936585429191;136.333536751626;25;96.1904761904762;3.80952380952381;13.5;1.1;1.3;4.6;31.2;85.4;185
8;1080.51411827384;10.688140556369;48.9984591679507;9.75232198142415;100;25.3731343283582;100;0;78.2498668087374;0;7.05521472392638;138.707882723247;15.2426244750821;155.474769645838;0;90.0990099009901;9.9009900990099;0;0.9;6.1;9.4;25;85;182
9;1627.31431729559;15.5756207674944;14.7169811320755;17.0923379174853;100;57.7777777777778;100;0;21.4928306057908;0;4.06320541760722;60.0317310578449;0;60.0317310578449;0;100;0;7.5;2.3;1.9;2.3;27.1;92.1;172
10;1227.31248633282;10.5995717344754;8.35189309576838;30.518018018018;95.2029520295203;33.6842105263158;100;0;36.9013776514323;0;5.25030525030525;84.4313675323014;3.83778943328643;89.5484201100166;0;95.6521739130435;4.34782608695652;10.6;1.2;1.4;3.3;27.1;69.4;179
11;1497.18673782328;13.8449962377728;24.0322580645161;16.9547325102881;96.6019417475728;60.9375;98.1132075471698;6.26326963906582;22.9407645311632;50;6.57327586206897;53.1256534737961;6.78199831580375;59.9076517895998;0;88.6792452830189;11.3207547169811;9.8;3.5;3.2;4.3;28.1;92;182
12;1015.77583357974;14.0983606557377;11.986301369863;12.2837370242215;100;54.2372881355932;100;0;13.9147374462978;0;1.96463654223969;43.6698879948243;4.8522097772027;48.522097772027;0;90;10;4.1;6.3;6.1;6.5;40.6;83.4;176
13;1889.93971744005;8.62636232778121;38.6288998357964;20.1178538199111;85.9198355601233;8.31809872029251;93.9788445890968;5.01672240802676;97.1736246343867;29.4117647058824;6.04106567113524;159.049873757594;70.6481602651685;224.93934965257;21.4285714285714;69.2430278884462;30.7569721115538;28.2;0;0;0;25.5;125.8;198
14;964.374858180168;10.0436681222707;22.6625386996904;25.4840724547158;80.6372549019608;5.69948186528497;80.4651162790698;1.44115292233787;60.9078857798001;33.3333333333333;7.97101449275362;176.410796340736;67.7641471658065;240.814737861957;25;72.2477064220184;27.7522935779816;13.9;0;0;0;20.2;91.8;168
15;962.325962325962;14.2372881355932;0.709219858156028;17.921146953405;98;60;100;1.07142857142857;13.6500136500137;33.3333333333333;1.07913669064748;34.7804091440858;3.16185537673507;37.9422645208208;0;91.6666666666667;8.33333333333333;6.3;3;12.4;13.1;20.4;96.7;170
16;1205.96346984441;13.6460554371002;42.0711974110032;19.304152637486;95.9302325581395;55.4347826086957;76.5957446808511;8.93854748603352;16.9121090700942;33.3333333333333;7.45697896749522;54.5094452755452;1.21132100612323;56.9320872877917;33.3333333333333;97.8260869565217;2.17391304347826;14.2;3.8;4;3.7;21.9;73.6;170
17;1262.21642653135;10.789766407119;17.2375070185289;20.373613543491;99.4269340974212;24.7422680412371;99.3506493506494;1.56037991858887;43.231444142848;28.5714285714286;5.19835841313269;77.1843675040505;25.2845341823614;102.468901686412;0;75.3246753246753;24.6753246753247;10.7;1.7;1.8;2.7;21.4;102.8;168
18;1203.74008014457;15.5778894472362;5.74412532637076;23.936170212766;98.3333333333333;58.6666666666667;100;2.21606648199446;20.4290091930541;25;5.62587904360056;27.4858411752367;17.3594786369916;44.8453198122283;0;61.2903225806452;38.7096774193548;9.8;0.2;0.1;0.1;15;68.2;183
19;1520.70685820761;9.21658986175115;4.87483530961792;23.7516869095816;99.4318181818182;47.1428571428571;76.5957446808511;3.73961218836565;20.0356634809962;25;2.52100840336134;74.5614852647865;11.184222789718;87.6097451861241;33.3333333333333;86.9565217391304;13.0434782608696;9.4;2.4;3.6;3.4;21.5;86;176
21;1108.4131480732;7.6647564469914;40.3651115618661;32.2001888574127;79.1788856304985;3.33333333333333;97.4358974358974;0.113378684807256;103.421916453078;20;9.36768149882904;120.921121950012;111.728288117555;220.62801197897;33.3333333333333;51.9756838905775;48.0243161094225;15;0.3;0.4;2.6;24;98.8;167
22;1055.47085727689;16.4658634538153;13.1851851851852;17.607223476298;94.4444444444444;15.1898734177215;93.6170212765958;4.01023890784983;40.6551737617763;16.6666666666667;4.40414507772021;67.5894197121272;34.8848617869044;102.474281499032;25;65.9574468085106;34.0425531914894;9.2;0.1;0.2;0.2;21.5;77.2;192
23;732.399523940309;36.4035087719298;0;42.0382165605096;100;90.4761904761905;100;0;4.57749702462693;0;3.125;8.38539264601065;0;8.38539264601065;0;100;0;5.7;12.9;12.3;12.3;17.1;86.8;168
24;1216.80752862195;18.1328545780969;5.22167487684729;21.8562874251497;96.8036529680365;55.4347826086957;90.6976744186046;0.311850311850312;17.9823772702751;25;3.37197049525817;42.1145960323617;5.54139421478444;47.6559902471462;33.3333333333333;88.3720930232558;11.6279069767442;8.6;8;7.8;6.6;16.7;81.8;174
25;1048.44997215519;27.2264631043257;62.8186968838527;15.5270655270655;99.5412844036697;17.5;92.896174863388;0;54.9470948579915;0;13.1528046421663;78.940106813649;48.9009511234994;127.841057937148;33.3333333333333;61.7486338797814;38.2513661202186;8.4;2.9;3.2;5.8;29.9;98.1;176
26;1389.50298861868;15.4557463672391;34.531526222746;20.5373134328358;98.2558139534884;30.4093567251462;100;0;41.7587816261361;0;7.811080835604;83.60979538612;36.8189924636125;120.428787849732;0;69.4267515923567;30.5732484076433;11.4;1.1;1;2;32.4;91.7;186
27;857.394316213838;37.7313432835821;17.135761589404;4.31472081218274;100;62.5668449197861;100;0;22.7124322175851;0;3.81526104417671;32.7367604356608;12.4399689655511;45.1767294012119;0;72.463768115942;27.536231884058;6;0;0;0;14;66.3;196
28;994.521618075656;24.4791666666667;28.7009063444109;16.0041841004184;99.3464052287582;48.8888888888889;100;2.96610169491525;24.0367762676896;20;7.71428571428571;58.2742497190349;14.7998094524533;72.1490710807098;0;79.746835443038;20.253164556962;8.9;0;3.9;3.5;17.2;58.8;198
29;962.234570446406;8.64316755190729;21.4748380667663;27.1486349848332;99.6275605214153;7.71604938271605;88.2352941176471;15.8629441624365;50.820560272705;28.5714285714286;6.22593068035944;96.1650803922097;41.3419971779593;137.507077570169;16.6666666666667;69.9346405228758;30.0653594771242;9.3;1.7;1.6;1.4;23.7;100.1;172
2A;1413.5393865872;17.5090252707581;28.3582089552239;14.9312377210216;100;35.3846153846154;89.1304347826087;20.8333333333333;47.469606265988;66.6666666666667;4.04312668463612;97.2362466808781;19.9458967550519;114.688906341549;50;82.9787234042553;17.0212765957447;15.8;13;11.8;11.2;21.5;110.2;142
2B;1407.38934816818;12.8500823723229;10.0787401574803;8.62068965517241;100;23.5294117647059;81.8181818181818;35.2014010507881;39.8945012079168;50;1.77304964539007;78.6748601926471;17.010780582194;93.5592932020668;50;82.2222222222222;17.7777777777778;10.2;33.5;32.4;32;12.7;88;127
30;1387.42820160181;20.0154858691444;47.2303206997085;15.0423728813559;100;19.3661971830986;76.8996960486322;14.2857142857143;57.2075768257307;50;5.38152610441767;110.014560750688;66.3323086879146;177.425443563609;40;62.3853211009174;37.6146788990826;11.7;0.3;0.3;0.3;32.7;93.1;191
31;1368.95285456186;8.38598506605399;56.1881650177338;24.0920327058376;98.3425414364641;3.2051282051282;71.2962962962963;21.942905837239;59.7974552860695;55.5555555555556;11.3333333333333;95.6017070680136;62.1779740056747;159.254257532321;71.4285714285714;60.5919003115265;39.4080996884735;23.9;0.5;0.4;0.3;31.2;106.9;162
32;861.354561663444;32.6291079812207;47.2303206997085;17.8885630498534;100;29.4736842105263;100;0;80.3596092514;0;3.95480225988701;151.904650619304;14.0219677494742;165.926618368778;0;91.5492957746479;8.45070422535211;7.2;16.8;17.8;17;19.1;101.4;170
33;1311.08489651191;4.86837360259647;51.2704490080056;27.7224199288256;96.8549422336329;1.35338345864662;84.180790960452;4.42857142857143;72.7873445853289;28.5714285714286;12.6791620727674;122.946104241202;71.225461458807;193.952410433982;22.2222222222222;63.3182844243792;36.6817155756208;22.8;0.1;0.2;0.1;25.8;120.3;161
34;1638.50301154288;7.7027027027027;38.8476209596467;21.7177914110429;99.8116760828625;4.4806517311609;76.2237762237762;36.0801050558109;66.1190735434889;66.6666666666667;5.06160506160506;122.507530748918;56.6872892925584;180.139608196352;57.1428571428571;68.3655536028119;31.6344463971881;27;1.2;1.1;0.9;34.3;120.3;171
35;995.272455834785;7.53217259651779;21.0211267605634;34.1898643825839;32.776617954071;2.56410256410256;87.7358490566038;1.42666072224699;47.3104864569352;25;4.48979591836735;85.0507469456776;55.6999009408947;141.417712568499;14.2857142857143;60.4265402843602;39.5734597156398;13.8;0;0;0;30.7;94.1;174
36;1039.63612735543;13.508064516129;11.6379310344828;9.78260869565217;100;81.3953488372093;100;0;11.2029755102955;0;4.16666666666667;14.4086287102219;2.0583755300317;16.4670042402536;0;87.5;12.5;7.2;3.5;3.3;3.1;14.3;67.5;181
37;976.352501986764;7.86206896551724;12.1067031463748;56.2803608605135;25.5240443896424;5.41871921182266;84.7222222222222;0.622568093385214;62.7750582672748;20;5.3840063341251;111.145996860283;70.9576138147567;180.847723704867;50;61.0344827586207;38.9655172413793;13.2;0.7;1.1;1;23.4;96.7;174
38;1041.95562260199;13.4798958634654;27.8791504636554;34.9485160508783;96.1005199306759;29.2592592592593;83.4123222748815;1.32725010369141;48.93420064269;30;6.21739130434783;85.9918410471634;37.2729140375077;123.851730108884;42.8571428571429;69.7619047619048;30.2380952380952;15.4;1;1.1;0.9;33.6;94.7;185
39;1006.26740947075;21.0873146622735;15.0519031141869;17.1628721541156;74.4897959183673;56.0606060606061;100;0;20.891364902507;0;3.75;41.8214865929965;11.2596310058068;53.0811175988033;0;78.7878787878788;21.2121212121212;2.7;1.4;1.2;1.6;24.2;87.4;180
40;990.248370238673;24.6212121212121;43.525571273123;27.103825136612;100;75.4545454545455;100;5.78034682080925;8.62022520338344;25;5.87084148727984;25.3153020874998;4.05044833399997;29.3657504214998;0;86.2068965517241;13.7931034482759;8.9;7.8;7.5;6.4;31.1;101.9;173
41;944.888562469987;15.6695156695157;3.73692077727952;41.8429003021148;25.2707581227437;42.4528301886792;82.258064516129;7.45341614906832;33.8973475325556;33.3333333333333;5.4773082942097;68.9534044117169;11.7090686736878;80.6624730854046;33.3333333333333;85.4838709677419;14.5161290322581;8.5;0.3;0.4;0.2;24.7;82.1;191
42;1226.66992741138;8.48341232227488;35.1155414589941;20.6218564243256;100;5.859375;86.9415807560137;2.58379888268156;61.6947720628286;28.5714285714286;6.72804532577904;105.300471245673;45.3521831602652;151.695233329163;16.6666666666667;69.8961937716263;30.1038062283737;14.4;0;0.1;0.1;26.3;91.8;194
43;569.708478959171;46.875;26.5957446808511;15.6028368794326;97.7272727272727;82.8125;100;0;10.1012141659427;0;2.92682926829268;26.2295081967213;0;26.2295081967213;0;100;0;9.3;3.2;3.2;3.3;24.7;89.6;179
44;1073.86484758047;6.63973744004039;12.6550868486352;45.4683160817975;46.9739033870072;2.7681660899654;77.8637770897833;2.92613636363636;59.9552334257088;16.6666666666667;5.78993308117544;105.146983007178;60.0839902898161;164.467193759412;28.5714285714286;63.6363636363636;36.3636363636364;12.8;0;0;0;26;94.4;179
45;1138.56133862803;14.5498783454988;27.4760383386581;22.2103577148959;85.8173076923077;14.1221374045802;81.3559322033898;0;52.7448543453879;0;7.62331838565022;80.0326942069952;29.5156035373316;133.955431438659;33.3333333333333;73.0569948186529;26.9430051813472;11.2;0;0;0.2;18.3;66.9;194
46;1076.15165821189;37.0600414078675;14.9863760217984;21.1864406779661;98.6666666666667;65.625;100;0;11.7291733865056;0;4.23452768729642;18.9660778151078;13.5471984393627;32.5132762544706;0;58.3333333333333;41.6666666666667;3.9;6.3;7.3;23.8;20.6;94.3;167
47;1404.27545510215;11.4604462474645;42.3191278493558;16.0443995963673;99.3710691823899;51.0204081632653;80.7692307692308;7.90378006872852;27.8349941546512;20;4.70383275261324;59.4687885819926;6.46399875891224;67.2255870926873;20;90.1960784313726;9.80392156862745;6.8;1.5;1.3;1.2;17.8;72.3;181
48;938.535149061465;25.5434782608696;20.9150326797386;16.6666666666667;96;68.4210526315789;100;0;6.13421666053245;0;4.16666666666667;28.5697960116565;5.71395920233129;34.2837552139878;0;83.3333333333333;16.6666666666667;9.2;13;12.6;11.9;27.5;96.7;149
